country,year_month,monthly_vaccinations,monthly_vaccinations_per_million,people_vaccinated,people_vaccinated_per_hundred
Afghanistan,"(2021, 2)",8202.0,204.0,8200.0,0.02
Afghanistan,"(2021, 3)",85894.0,2154.0,54000.0,0.14
Afghanistan,"(2021, 4)",219606.0,5511.0,240000.0,0.6
Afghanistan,"(2021, 5)",285838.0,7171.0,480226.0,1.21
Afghanistan,"(2021, 6)",242899.0,6097.0,699200.0,1.76
Afghanistan,"(2021, 7)",337196.0,8466.0,742934.0,1.87
Afghanistan,"(2021, 8)",591825.0,14854.0,773002.0,1.94
Afghanistan,"(2021, 9)",563255.0,14132.0,828601.0,2.08
Afghanistan,"(2021, 10)",1064777.0,26738.0,,
Afghanistan,"(2021, 11)",821215.0,20618.0,3530173.0,8.86
Afghanistan,"(2021, 12)",476498.0,11958.0,4142857.0,10.4
Afghanistan,"(2022, 1)",399710.0,10038.0,4554648.0,11.43
Afghanistan,"(2022, 2)",406044.0,10195.0,4907058.0,12.32
Afghanistan,"(2022, 3)",239039.0,6002.0,5082824.0,12.76
Albania,"(2021, 1)",741.0,257.0,549.0,0.02
Albania,"(2021, 2)",9504.0,3305.0,6073.0,0.21
Albania,"(2021, 3)",78590.0,27354.0,,
Albania,"(2021, 4)",339023.0,118004.0,,
Albania,"(2021, 5)",333048.0,115927.0,486128.0,16.92
Albania,"(2021, 6)",180622.0,62871.0,564530.0,19.65
Albania,"(2021, 7)",228113.0,79398.0,670215.0,23.33
Albania,"(2021, 8)",267844.0,93230.0,830396.0,28.9
Albania,"(2021, 9)",279183.0,97175.0,946495.0,32.95
Albania,"(2021, 10)",178646.0,62180.0,1013959.0,35.29
Albania,"(2021, 11)",195174.0,67934.0,1072645.0,37.34
Albania,"(2021, 12)",225969.0,78652.0,1141486.0,39.73
Albania,"(2022, 1)",202067.0,70329.0,1210040.0,42.12
Albania,"(2022, 2)",178941.0,62285.0,1269746.0,44.2
Albania,"(2022, 3)",51515.0,17931.0,1278902.0,44.52
Algeria,"(2021, 1)",1919.0,43.0,30.0,0.0
Algeria,"(2021, 2)",212612.0,4764.0,75000.0,0.17
Algeria,"(2021, 3)",693439.0,15531.0,,
Algeria,"(2021, 4)",671070.0,15030.0,,
Algeria,"(2021, 5)",693439.0,15531.0,,
Algeria,"(2021, 6)",671070.0,15030.0,,
Algeria,"(2021, 7)",693439.0,15531.0,,
Algeria,"(2021, 8)",2569903.0,57594.0,3421279.0,7.67
Algeria,"(2021, 9)",3923972.0,87950.0,6017036.0,13.49
Algeria,"(2021, 10)",1031025.0,23118.0,6364327.0,14.26
Algeria,"(2021, 11)",973754.0,21824.0,6875003.0,15.41
Algeria,"(2021, 12)",573211.0,12847.0,7060737.0,15.83
Algeria,"(2022, 1)",579285.0,12988.0,7247787.0,16.24
Algeria,"(2022, 2)",370459.0,8305.0,7456361.0,16.71
Algeria,"(2022, 3)",38763.0,873.0,7461932.0,16.72
Andorra,"(2021, 1)",396.0,5118.0,576.0,0.74
Andorra,"(2021, 2)",1710.0,22108.0,2390.0,3.09
Andorra,"(2021, 3)",8579.0,110908.0,7098.0,9.18
Andorra,"(2021, 4)",17392.0,224837.0,23822.0,30.8
Andorra,"(2021, 5)",6692.0,86512.0,27613.0,35.7
Andorra,"(2021, 6)",32200.0,416266.0,41716.0,53.93
Andorra,"(2021, 7)",17752.0,229488.0,48445.0,62.63
Andorra,"(2021, 8)",10473.0,135388.0,52910.0,68.4
Andorra,"(2021, 9)",6488.0,83869.0,54312.0,70.21
Andorra,"(2021, 10)",2268.0,29315.0,54999.0,71.1
Andorra,"(2021, 11)",1655.0,21394.0,,
Andorra,"(2021, 12)",13093.0,169260.0,57085.0,73.8
Andorra,"(2022, 1)",21732.0,280937.0,57709.0,74.6
Andorra,"(2022, 2)",10627.0,137383.0,57805.0,74.73
Andorra,"(2022, 3)",442.0,5720.0,57817.0,74.74
